latitude,longitude,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
 -32.5500, 150.0000,1990-03-09,    0.0,25, 29.5,25,  6.2,25, 12.2,25, 17.1,26,  6.0,25,  6.5,26,  6.0,25, 5.5,26, 25.2,25, 29.6,26,100.0,26,  5.2,26,  6.7,26, 3.9,26, 6.9,26, 5.4,26,1010.0,25,""
 -32.5500, 150.0000,1990-03-10,    0.0,25, 32.1,25,  8.4,25, 13.1,25, 20.9,26,  6.2,25,  7.1,26,  6.2,25, 5.7,26, 24.9,25, 27.4,26,100.0,26,  5.6,26,  7.4,26, 3.5,26, 7.7,26, 5.6,26,1013.4,25,""
 -32.5500, 150.0000,1990-03-11,    0.0,25, 31.5,25, 11.7,25, 13.4,25, 21.3,26,  5.8,25,  6.4,26,  5.8,25, 4.7,26, 20.2,25, 29.0,26, 97.5,26,  5.1,26,  6.8,26, 1.9,26, 7.4,26, 4.6,26,1008.7,25,""
 -32.5500, 150.0000,1990-03-12,    0.1,25, 19.1,25, 12.7,25, 13.2,25,  6.8,26,  4.8,25,  3.1,26,  4.8,25, 2.5,26, 11.9,25, 59.7,26, 89.9,26,  2.5,26,  3.2,26, 1.6,26, 3.5,26, 2.5,26,1012.6,25,""
 -32.5500, 150.0000,1990-03-13,    0.0,25, 19.4,25, 12.4,25, 12.3,25,  7.9,26,  4.7,25,  3.4,26,  4.7,25, 2.8,26, 13.1,25, 54.6,26, 85.5,26,  2.8,26,  3.6,26, 1.5,26, 4.0,26, 2.7,26,1021.6,25,""
 -32.5500, 150.0000,1990-03-14,    0.0,25, 24.9,25,  9.9,25, 13.9,25, 11.2,26,  4.7,25,  5.0,26,  4.7,25, 4.6,26, 21.3,25, 44.2,26,100.0,26,  3.9,26,  4.9,26, 3.6,26, 5.4,26, 4.5,26,1021.7,25,""
 -32.5500, 150.0000,1990-03-15,    0.0,25, 28.2,25, 10.5,25, 11.4,25, 18.0,26,  4.5,25,  5.7,26,  4.5,25, 4.2,26, 19.1,25, 29.8,26, 89.8,26,  4.6,26,  6.2,26, 1.5,26, 6.8,26, 4.1,26,1015.9,25,""
 -32.5500, 150.0000,1990-03-16,    0.0,25, 23.7,25, 16.6,25, 17.8,25,  8.5,26,  6.3,25,  3.8,26,  6.3,25, 3.7,26, 16.0,25, 60.8,26, 94.3,26,  3.2,26,  3.9,26, 2.9,26, 4.5,26, 3.7,26,1020.4,25,""
 -32.5500, 150.0000,1990-03-17,    0.0,25, 26.7,25, 13.9,25, 16.0,25, 12.9,26,  4.7,25,  5.1,26,  4.7,25, 4.7,26, 20.6,25, 45.7,26,100.0,26,  4.1,26,  5.2,26, 3.4,26, 5.9,26, 4.6,26,1022.1,25,""
 -32.5500, 150.0000,1990-03-18,    0.0,25, 29.7,25, 12.8,25, 17.6,25, 15.0,26,  4.2,25,  5.0,26,  4.2,25, 3.9,26, 16.6,25, 42.2,26,100.0,26,  3.9,26,  5.0,26, 2.6,26, 5.2,26, 3.9,26,1017.8,25,""
